timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764348762,32,124,11,17,110,9.5,0
1764348767,32,124,12,17,110,10.0,96
1764348772,32,124,12,17,110,10.0,96
1764348777,32,124,12,17,110,10.0,96
1764348782,32,124,12,17,110,10.0,96
1764348787,32,124,12,17,110,10.0,96
1764348792,32,124,12,17,110,10.0,96
1764348797,32,124,12,17,110,9.9,96
1764348802,32,124,12,17,110,9.9,96
1764348807,32,124,12,17,110,9.9,96
1764348812,32,124,12,17,110,9.9,96
1764348817,32,124,12,17,110,9.9,96
1764348822,32,124,12,17,110,9.9,96
1764348827,32,124,12,17,110,9.9,96
1764348832,32,124,12,17,110,9.9,96
1764348837,32,124,12,17,110,9.9,96
1764348842,32,124,12,17,110,9.9,96
1764348847,32,124,12,17,110,9.9,96
1764348852,32,124,12,17,110,10.0,96
1764348857,32,124,12,17,110,9.9,96
1764348862,32,124,12,17,110,9.9,96
1764348867,32,124,12,17,110,9.9,96
1764348872,32,124,12,17,110,9.9,96
1764348877,32,124,12,17,110,9.9,96
1764348883,32,124,12,17,110,9.9,96
1764348888,32,124,12,17,110,9.9,96
1764348893,32,124,12,17,110,9.9,96
