timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764351434,32,124,11,16,110,9.6,0
1764351440,32,124,13,15,109,10.5,147
1764351445,32,124,14,14,108,11.4,305
1764351450,32,124,15,13,107,12.1,424
1764351455,32,124,15,12,106,12.7,507
1764351460,32,124,16,12,106,13.1,573
1764351465,32,124,16,11,105,13.4,627
1764351470,32,124,17,11,105,13.7,675
1764351475,32,124,17,11,105,14.0,717
1764351480,32,124,17,11,105,14.0,728
1764351485,32,124,17,11,105,13.9,728
1764351490,32,124,17,11,105,13.8,728
1764351495,32,124,17,11,105,13.8,728
1764351500,32,124,17,11,105,13.8,728
1764351505,32,124,17,11,105,13.8,728
1764351510,32,124,17,11,105,13.8,728
1764351515,32,124,17,11,105,13.8,728
1764351520,32,124,17,11,105,13.8,728
1764351526,32,124,17,11,105,13.8,728
1764351531,32,124,17,11,105,13.8,728
1764351536,32,124,17,11,105,13.8,728
1764351541,32,124,17,11,105,13.8,728
1764351546,32,124,17,11,105,13.8,728
1764351551,32,124,17,11,105,13.8,728
1764351556,32,124,17,11,105,13.8,728
1764351561,32,124,17,11,105,13.8,728
1764351566,32,124,17,11,105,13.8,728
1764351571,32,124,17,11,105,13.8,728
1764351576,32,124,17,11,105,13.8,728
1764351581,32,124,17,11,105,13.9,728
1764351586,32,124,17,11,105,13.9,728
1764351591,32,124,17,11,105,13.9,728
1764351596,32,124,17,11,105,13.9,728
1764351602,32,124,17,11,105,13.9,728
1764351607,32,124,17,11,105,13.9,728
1764351612,32,124,17,11,105,13.9,728
1764351617,32,124,17,11,105,13.9,728
1764351622,32,124,17,11,105,13.9,728
1764351627,32,124,17,11,105,13.9,728
1764351632,32,124,17,11,105,13.9,728
1764351637,32,124,17,10,105,14.0,728
1764351642,32,124,17,10,105,14.0,728
