timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764348191,32,124,11,17,110,9.5,0
1764348197,32,124,12,17,110,9.7,48
1764348202,32,124,12,17,110,9.7,48
1764348207,32,124,12,17,110,9.7,48
1764348212,32,124,12,17,110,9.7,48
1764348217,32,124,12,17,110,9.7,48
1764348222,32,124,12,17,110,9.7,48
1764348227,32,124,12,17,110,9.7,48
1764348232,32,124,12,17,110,9.7,48
1764348237,32,124,12,17,110,9.7,48
1764348242,32,124,12,17,110,9.7,48
1764348247,32,124,12,17,110,9.7,48
1764348252,32,124,12,17,110,9.7,48
1764348257,32,124,12,17,110,9.7,48
1764348262,32,124,12,17,110,9.7,48
1764348267,32,124,12,17,110,9.7,48
1764348272,32,124,12,17,110,9.7,48
1764348277,32,124,12,17,110,9.7,48
1764348282,32,124,12,17,110,9.7,48
1764348287,32,124,12,17,110,9.7,48
1764348292,32,124,12,17,110,9.7,48
1764348297,32,124,12,17,110,9.7,48
1764348302,32,124,12,17,110,9.7,48
1764348307,32,124,12,17,110,9.7,48
1764348312,32,124,12,17,110,9.7,48
1764348317,32,124,12,17,110,9.6,48
1764348322,32,124,12,17,110,9.6,48
