timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764350952,32,124,11,17,110,9.6,0
1764350957,32,124,13,15,109,10.5,158
1764350962,32,124,14,14,108,11.5,320
1764350967,32,124,14,13,107,12.0,406
1764350972,32,124,15,13,107,12.1,434
1764350977,32,124,15,13,107,12.0,434
1764350982,32,124,14,13,107,12.0,434
1764350987,32,124,14,13,107,12.0,434
1764350992,32,124,14,13,107,12.0,434
1764350997,32,124,14,13,107,11.9,434
1764351003,32,124,14,13,107,11.9,434
1764351008,32,124,14,13,107,11.9,434
1764351013,32,124,14,13,107,11.9,434
1764351018,32,124,14,13,107,11.9,434
1764351023,32,124,14,13,107,11.9,434
1764351028,32,124,14,13,107,11.9,434
1764351033,32,124,14,13,107,11.9,434
1764351038,32,124,14,13,107,12.0,434
1764351043,32,124,14,13,107,12.0,434
1764351048,32,124,14,13,107,12.0,434
1764351053,32,124,14,13,107,12.0,434
1764351058,32,124,14,13,107,12.0,434
1764351063,32,124,14,13,107,12.0,434
1764351068,32,124,14,13,107,12.0,434
1764351073,32,124,14,13,107,12.0,434
1764351078,32,124,14,13,107,12.0,434
1764351083,32,124,14,13,107,12.0,434
1764351088,32,124,14,13,107,12.0,434
1764351093,32,124,14,13,107,12.0,434
1764351098,32,124,14,13,107,12.0,434
1764351104,32,124,14,13,107,12.0,434
1764351109,32,124,14,13,107,12.0,434
1764351114,32,124,14,13,107,12.0,434
1764351119,32,124,15,13,107,12.1,434
