timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764350307,32,124,11,17,110,9.6,0
1764350312,32,124,13,16,109,10.5,162
1764350317,32,124,14,14,108,11.5,326
1764350322,32,124,14,14,107,12.0,404
1764350327,32,124,15,14,107,12.1,433
1764350332,32,124,15,14,107,12.0,433
1764350337,32,124,14,14,107,12.0,433
1764350342,32,124,14,14,107,11.9,433
1764350347,32,124,14,14,107,11.9,433
1764350352,32,124,14,14,107,11.9,433
1764350357,32,124,14,14,107,11.9,433
1764350362,32,124,14,14,107,11.9,433
1764350367,32,124,14,14,107,11.9,433
1764350372,32,124,14,14,107,11.9,433
1764350377,32,124,14,14,107,11.9,433
1764350382,32,124,14,14,107,12.0,433
1764350387,32,124,14,14,107,11.9,433
1764350392,32,124,14,14,107,12.0,433
1764350397,32,124,14,14,107,11.9,433
1764350403,32,124,14,14,107,11.9,433
1764350408,32,124,14,14,107,11.9,433
1764350413,32,124,14,14,107,11.9,433
1764350418,32,124,14,14,107,11.9,433
1764350423,32,124,14,14,107,12.0,433
1764350428,32,124,14,14,107,12.0,433
1764350433,32,124,14,14,107,12.0,433
1764350438,32,124,14,14,107,12.0,433
1764350443,32,124,14,14,107,12.0,433
1764350448,32,124,14,14,107,12.0,433
1764350453,32,124,14,14,107,12.0,433
1764350458,32,124,14,14,107,12.0,433
1764350463,32,124,14,14,107,12.0,433
1764350468,32,124,14,14,107,12.0,433
1764350473,32,124,15,13,107,12.1,433
