timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764351999,32,124,12,16,110,9.6,0
1764352004,32,124,13,15,109,10.5,152
1764352009,32,124,14,14,108,11.5,317
1764352014,32,124,14,13,107,12.0,390
1764352019,32,124,15,13,107,12.2,431
1764352024,32,124,15,12,107,12.4,462
1764352029,32,124,15,12,107,12.5,481
1764352034,32,124,15,12,106,12.8,516
1764352039,32,124,15,12,106,12.7,521
1764352044,32,124,15,12,106,12.6,521
1764352050,32,124,15,12,106,12.6,521
1764352055,32,124,15,12,106,12.6,521
1764352060,32,124,15,12,106,12.6,521
1764352065,32,124,15,12,106,12.6,521
1764352070,32,124,15,12,106,12.6,521
1764352075,32,124,15,12,106,12.6,521
1764352080,32,124,15,12,106,12.6,521
1764352085,32,124,15,12,106,12.6,521
1764352090,32,124,15,12,106,12.6,521
1764352095,32,124,15,12,106,12.6,521
1764352100,32,124,15,12,106,12.6,521
1764352105,32,124,15,12,106,12.6,521
1764352110,32,124,15,12,106,12.6,521
1764352115,32,124,15,12,106,12.6,521
1764352120,32,124,15,12,106,12.6,521
1764352125,32,124,15,12,106,12.6,521
1764352130,32,124,15,12,106,12.6,521
1764352135,32,124,15,12,106,12.6,521
1764352140,32,124,15,12,106,12.6,521
1764352146,32,124,15,12,106,12.6,521
1764352151,32,124,15,12,106,12.6,521
1764352156,32,124,15,12,106,12.6,521
1764352161,32,124,15,12,106,12.6,521
1764352166,32,124,15,12,106,12.6,521
1764352171,32,124,15,12,106,12.6,521
1764352176,32,124,15,12,106,12.6,521
1764352181,32,124,15,12,106,12.6,521
1764352186,32,124,15,12,106,12.6,521
1764352191,32,124,15,12,106,12.7,521
1764352196,32,124,15,12,106,12.8,521
