NodeCount,Bandwidth,Topology,Soldier_to_Squad_P50_ms,Soldier_to_Squad_P95_ms,Squad_to_Platoon_P50_ms,Squad_to_Platoon_P95_ms,Aggregation_Ratio,Total_Ops,Status
24,1gbps,1_platoon_3_squads,0,0,69.584,195.318,6,49712,PASS
24,100mbps,1_platoon_3_squads,0,0,101.092,241.418,6,40480,PASS
24,1mbps,1_platoon_3_squads,0,0,91.236,222.577,6,41450,PASS
24,256kbps,1_platoon_3_squads,0,0,96.834,245.345,6,39651,PASS
48,1gbps,2_platoons_6_squads,0,0,238.556,28613.55,4,109163,PASS
48,100mbps,2_platoons_6_squads,0,0,245.462,27496.272,4,106650,PASS
48,1mbps,2_platoons_6_squads,0,0,244.799,27371.992,4,108871,PASS
48,256kbps,2_platoons_6_squads,0,0,241.618,29596.747,4,109718,PASS
96,1gbps,4_platoons_12_squads,0,0,523.213,1629.064,4,132147,PASS
96,100mbps,4_platoons_12_squads,0,0,514.516,1462.881,4,123460,PASS
96,1mbps,4_platoons_12_squads,0,0,524.655,1494.733,4,118220,PASS
96,256kbps,4_platoons_12_squads,0,0,560.166,2261.282,4,104620,PASS
384,1gbps,multi_company_384n,0,0,0,0,8,463775,WARN
384,100mbps,multi_company_384n,0,0,0,0,8,532242,WARN
384,1mbps,multi_company_384n,0,0,0,0,8,505745,WARN
384,256kbps,multi_company_384n,0,0,0,0,8,539775,WARN
1000,1gbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
1000,100mbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
1000,1mbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
1000,256kbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
