timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764351167,32,124,11,16,110,9.6,0
1764351172,32,124,13,15,109,10.5,157
1764351177,32,124,14,14,108,11.4,314
1764351182,32,124,15,13,107,12.2,439
1764351187,32,124,15,13,106,12.6,494
1764351192,32,124,15,12,106,12.7,516
1764351197,32,124,16,12,106,12.9,541
1764351203,32,124,16,12,106,13.0,562
1764351208,32,124,16,12,106,12.9,566
1764351213,32,124,16,12,106,12.9,566
1764351218,32,124,16,12,106,12.9,566
1764351223,32,124,16,12,106,12.8,566
1764351228,32,124,16,12,106,12.8,566
1764351233,32,124,16,12,106,12.8,566
1764351238,32,124,15,12,106,12.8,566
1764351243,32,124,15,12,106,12.8,566
1764351248,32,124,16,12,106,12.8,566
1764351253,32,124,16,12,106,12.8,566
1764351258,32,124,16,12,106,12.8,566
1764351263,32,124,16,12,106,12.8,566
1764351268,32,124,16,12,106,12.8,566
1764351273,32,124,16,12,106,12.8,566
1764351278,32,124,16,12,106,12.8,566
1764351283,32,124,16,12,106,12.8,566
1764351288,32,124,16,12,106,12.8,566
1764351294,32,124,16,12,106,12.8,566
1764351299,32,124,16,12,106,12.9,566
1764351304,32,124,16,12,106,12.9,566
1764351309,32,124,16,12,106,12.9,566
1764351314,32,124,16,12,106,12.9,566
1764351319,32,124,16,12,106,12.9,566
1764351324,32,124,16,12,106,12.9,566
1764351329,32,124,16,12,106,12.9,566
1764351334,32,124,16,12,106,12.9,566
1764351339,32,124,16,12,106,12.9,566
1764351344,32,124,16,12,106,12.9,566
1764351349,32,124,16,12,106,12.9,566
1764351354,32,124,16,12,106,12.9,566
1764351359,32,124,16,12,106,13.0,566
1764351364,32,124,16,12,106,13.0,566
