timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764352930,32,124,12,15,110,9.8,0
1764352935,32,124,13,14,109,10.6,138
1764352940,32,124,14,13,108,11.4,286
1764352945,32,124,15,12,107,12.1,397
1764352950,32,124,15,12,106,12.7,481
1764352955,32,124,16,11,106,13.1,548
1764352960,32,124,16,11,105,13.4,603
1764352965,32,124,17,10,105,13.7,652
1764352970,32,124,17,10,105,13.9,678
1764352975,32,124,17,10,105,14.0,687
1764352980,32,124,17,10,104,14.2,718
1764352985,32,124,17,10,104,14.2,729
1764352990,32,124,17,9,104,14.3,752
1764352995,32,124,18,9,104,14.4,777
1764353001,32,124,17,9,104,14.4,777
1764353006,32,124,17,9,104,14.4,777
1764353011,32,124,17,9,104,14.3,777
1764353016,32,124,17,9,104,14.3,777
1764353021,32,124,17,9,104,14.4,777
1764353026,32,124,17,9,104,14.4,777
1764353031,32,124,17,9,104,14.3,777
1764353036,32,124,17,9,104,14.3,777
1764353041,32,124,17,9,104,14.3,777
1764353046,32,124,17,9,104,14.3,777
1764353051,32,124,17,9,104,14.3,777
1764353056,32,124,17,9,104,14.3,777
1764353061,32,124,17,9,104,14.3,777
1764353066,32,124,17,9,104,14.3,777
1764353071,32,124,17,9,104,14.4,777
1764353076,32,124,17,9,104,14.4,777
1764353082,32,124,17,9,104,14.4,777
1764353087,32,124,17,9,104,14.4,777
1764353092,32,124,17,9,104,14.4,777
1764353097,32,124,17,9,104,14.4,777
1764353102,32,124,17,9,104,14.4,777
1764353107,32,124,17,9,104,14.4,777
1764353112,32,124,17,9,104,14.4,777
1764353117,32,124,17,9,104,14.4,777
1764353122,32,124,17,9,104,14.4,777
1764353127,32,124,17,9,104,14.4,777
1764353132,32,124,18,9,104,14.4,777
1764353137,32,124,18,9,104,14.4,777
1764353142,32,124,18,9,104,14.4,777
1764353147,32,124,18,9,104,14.4,777
1764353152,32,124,17,9,104,14.4,777
1764353158,32,124,17,9,104,14.4,777
1764353163,32,124,18,9,104,14.4,777
1764353168,32,124,18,9,104,14.5,777
1764353173,32,124,18,9,104,14.5,777
1764353178,32,124,18,9,104,14.5,777
