timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764349220,32,124,11,17,110,9.5,0
1764349225,32,124,13,16,109,10.6,167
1764349230,32,124,13,16,109,10.5,192
1764349235,32,124,13,16,109,10.5,192
1764349240,32,124,13,16,109,10.5,192
1764349246,32,124,13,16,109,10.5,192
1764349251,32,124,13,16,109,10.5,192
1764349256,32,124,13,16,109,10.5,192
1764349261,32,124,13,16,109,10.5,192
1764349266,32,124,13,16,109,10.5,192
1764349271,32,124,13,16,109,10.5,192
1764349276,32,124,13,16,109,10.5,192
1764349281,32,124,13,16,109,10.5,192
1764349286,32,124,13,16,109,10.5,192
1764349291,32,124,13,16,109,10.5,192
1764349296,32,124,13,16,109,10.5,192
1764349301,32,124,13,16,109,10.5,192
1764349306,32,124,13,16,109,10.5,192
1764349311,32,124,13,16,109,10.5,192
1764349316,32,124,13,16,109,10.5,192
1764349321,32,124,13,16,109,10.5,192
1764349326,32,124,13,16,109,10.5,192
1764349331,32,124,13,16,109,10.5,192
1764349336,32,124,13,16,109,10.5,192
1764349341,32,124,13,16,109,10.5,192
1764349346,32,124,13,16,109,10.5,192
1764349351,32,124,13,16,109,10.5,192
1764349356,32,124,13,16,109,10.5,192
