timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764348053,32,124,11,17,110,9.5,0
1764348058,32,124,12,17,110,9.8,48
1764348063,32,124,12,17,110,9.7,48
1764348068,32,124,12,17,110,9.7,48
1764348073,32,124,12,17,110,9.7,48
1764348078,32,124,12,17,110,9.7,48
1764348083,32,124,12,17,110,9.7,48
1764348088,32,124,12,17,110,9.7,48
1764348093,32,124,12,17,110,9.7,48
1764348098,32,124,12,17,110,9.7,48
1764348103,32,124,12,17,110,9.7,48
1764348108,32,124,12,17,110,9.7,48
1764348113,32,124,12,17,110,9.7,48
1764348118,32,124,12,17,110,9.7,48
1764348123,32,124,12,17,110,9.7,48
1764348128,32,124,12,17,110,9.7,48
1764348133,32,124,12,17,110,9.7,48
1764348139,32,124,12,17,110,9.7,48
1764348144,32,124,12,17,110,9.7,48
1764348149,32,124,12,17,110,9.7,48
1764348154,32,124,12,17,110,9.7,48
1764348159,32,124,12,17,110,9.7,48
1764348164,32,124,12,17,110,9.7,48
1764348169,32,124,12,17,110,9.7,48
1764348174,32,124,12,17,110,9.7,48
1764348179,32,124,12,17,110,9.6,48
1764348184,32,124,12,17,110,9.6,48
