timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764348474,32,124,11,17,110,9.5,0
1764348479,32,124,12,17,110,10.0,96
1764348484,32,124,12,17,110,10.0,96
1764348489,32,124,12,17,110,10.0,96
1764348494,32,124,12,17,110,10.0,96
1764348499,32,124,12,17,110,10.0,96
1764348504,32,124,12,17,110,9.9,96
1764348509,32,124,12,17,110,9.9,96
1764348514,32,124,12,17,110,9.9,96
1764348519,32,124,12,17,110,9.9,96
1764348524,32,124,12,17,110,9.9,96
1764348529,32,124,12,17,110,9.9,96
1764348534,32,124,12,17,110,9.9,96
1764348539,32,124,12,17,110,9.9,96
1764348544,32,124,12,17,110,9.9,96
1764348549,32,124,12,17,110,9.9,96
1764348554,32,124,12,17,110,10.0,96
1764348559,32,124,12,17,110,9.9,96
1764348565,32,124,12,17,110,9.9,96
1764348570,32,124,12,17,110,9.9,96
1764348575,32,124,12,17,110,9.9,96
1764348580,32,124,12,17,110,9.9,96
1764348585,32,124,12,17,110,9.9,96
1764348590,32,124,12,17,110,9.9,96
1764348595,32,124,12,17,110,9.9,96
1764348600,32,124,12,17,110,9.9,96
1764348605,32,124,12,17,110,9.9,96
