NodeCount,Bandwidth,Topology,Soldier_to_Squad_P50_ms,Soldier_to_Squad_P95_ms,Squad_to_Platoon_P50_ms,Squad_to_Platoon_P95_ms,Aggregation_Ratio,Total_Ops,Status
24,1gbps,1_platoon_3_squads,39.391,70.874,73.514,197.623,6,49301,PASS
24,100mbps,1_platoon_3_squads,41.788,80.627,88.839,226.115,6,39344,PASS
24,1mbps,1_platoon_3_squads,44.021,87.128,102.809,258.211,6,37245,PASS
24,256kbps,1_platoon_3_squads,45.222,106.628,111.078,274.408,6,35137,PASS
48,1gbps,2_platoons_6_squads,54.988,143.563,299.224,31826.616,4,83619,PASS
48,100mbps,2_platoons_6_squads,55.921,130.998,298.201,29392.902,4,83868,PASS
48,1mbps,2_platoons_6_squads,53.504,134.509,291.305,29861.083,4,85708,PASS
48,256kbps,2_platoons_6_squads,55.350,137.091,291.399,28702.017,4,84772,PASS
96,1gbps,4_platoons_12_squads,99.514,294.571,683.756,1999.463,4,89705,PASS
96,100mbps,4_platoons_12_squads,88.833,272.213,614.907,1907.987,4,97390,PASS
96,1mbps,4_platoons_12_squads,94.093,278.439,655.551,2022.525,4,92426,PASS
96,256kbps,4_platoons_12_squads,100.076,279.311,682.792,1771.106,4,90673,PASS
384,1gbps,multi_company_384n,73.385,211.389,0,0,8,348105,PASS
384,100mbps,multi_company_384n,63.958,152.431,0,0,8,386508,PASS
384,1mbps,multi_company_384n,63.374,164.570,0,0,8,386733,PASS
384,256kbps,multi_company_384n,61.928,150.188,0,0,8,390086,PASS
1000,1gbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
