timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764348906,32,124,11,17,110,9.5,0
1764348911,32,124,13,16,109,10.6,186
1764348916,32,124,13,16,109,10.5,192
1764348921,32,124,13,16,109,10.5,192
1764348926,32,124,13,16,109,10.5,192
1764348931,32,124,13,16,109,10.5,192
1764348936,32,124,13,16,109,10.5,192
1764348941,32,124,13,16,109,10.5,192
1764348946,32,124,13,16,109,10.5,192
1764348951,32,124,13,16,109,10.5,192
1764348956,32,124,13,16,109,10.5,192
1764348961,32,124,13,16,109,10.5,192
1764348966,32,124,13,16,109,10.5,192
1764348971,32,124,13,16,109,10.5,192
1764348976,32,124,13,16,109,10.5,192
1764348981,32,124,13,16,109,10.5,192
1764348986,32,124,13,16,109,10.5,192
1764348991,32,124,13,16,109,10.5,192
1764348996,32,124,13,16,109,10.5,192
1764349001,32,124,13,16,109,10.5,192
1764349006,32,124,13,16,109,10.5,192
1764349012,32,124,13,16,109,10.5,192
1764349017,32,124,13,16,109,10.5,192
1764349022,32,124,13,16,109,10.5,192
1764349027,32,124,13,16,109,10.5,192
1764349032,32,124,13,16,109,10.5,192
1764349037,32,124,13,16,109,10.5,192
1764349042,32,124,13,16,109,10.5,192
