timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764349921,32,124,11,17,110,9.6,0
1764349926,32,124,13,16,109,10.5,160
1764349931,32,124,14,14,108,11.5,325
1764349936,32,124,14,14,108,11.7,370
1764349941,32,124,14,14,108,11.6,370
1764349946,32,124,14,14,108,11.6,370
1764349951,32,124,14,14,108,11.5,370
1764349956,32,124,14,14,108,11.5,370
1764349961,32,124,14,14,108,11.5,370
1764349966,32,124,14,14,108,11.5,370
1764349971,32,124,14,14,108,11.5,370
1764349976,32,124,14,14,108,11.5,370
1764349982,32,124,14,14,108,11.5,370
1764349987,32,124,14,14,108,11.5,370
1764349992,32,124,14,14,108,11.5,370
1764349997,32,124,14,14,108,11.5,370
1764350002,32,124,14,14,108,11.5,370
1764350007,32,124,14,14,108,11.5,370
1764350012,32,124,14,14,108,11.5,370
1764350017,32,124,14,14,108,11.5,370
1764350022,32,124,14,14,108,11.5,370
1764350027,32,124,14,14,108,11.5,370
1764350032,32,124,14,14,108,11.5,370
1764350037,32,124,14,14,108,11.5,370
1764350042,32,124,14,14,108,11.5,370
1764350047,32,124,14,14,108,11.6,370
1764350052,32,124,14,14,108,11.6,370
1764350057,32,124,14,14,108,11.5,370
1764350062,32,124,14,14,108,11.6,370
1764350067,32,124,14,14,108,11.6,370
1764350072,32,124,14,14,108,11.6,370
1764350077,32,124,14,14,108,11.7,370
