timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764349063,32,124,11,17,110,9.5,0
1764349068,32,124,13,16,109,10.6,183
1764349073,32,124,13,16,109,10.5,192
1764349078,32,124,13,16,109,10.5,192
1764349083,32,124,13,16,109,10.5,192
1764349088,32,124,13,16,109,10.5,192
1764349093,32,124,13,16,109,10.5,192
1764349098,32,124,13,16,109,10.5,192
1764349103,32,124,13,16,109,10.5,192
1764349108,32,124,13,16,109,10.5,192
1764349113,32,124,13,16,109,10.5,192
1764349118,32,124,13,16,109,10.5,192
1764349123,32,124,13,16,109,10.5,192
1764349128,32,124,13,16,109,10.5,192
1764349133,32,124,13,16,109,10.5,192
1764349138,32,124,13,16,109,10.5,192
1764349143,32,124,13,16,109,10.5,192
1764349148,32,124,13,16,109,10.5,192
1764349153,32,124,13,16,109,10.5,192
1764349158,32,124,13,16,109,10.5,192
1764349164,32,124,13,16,109,10.5,192
1764349169,32,124,13,16,109,10.5,192
1764349174,32,124,13,16,109,10.5,192
1764349179,32,124,13,16,109,10.5,192
1764349184,32,124,13,16,109,10.5,192
1764349189,32,124,13,16,109,10.5,192
1764349194,32,124,13,16,109,10.5,192
1764349199,32,124,13,16,109,10.5,192
