timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764350115,32,124,11,17,110,9.6,0
1764350120,32,124,13,16,109,10.5,160
1764350125,32,124,14,15,108,11.4,315
1764350130,32,124,14,14,108,11.7,384
1764350136,32,124,14,14,108,11.7,384
1764350141,32,124,14,14,108,11.6,384
1764350146,32,124,14,14,108,11.6,384
1764350151,32,124,14,14,108,11.6,384
1764350156,32,124,14,14,108,11.6,384
1764350161,32,124,14,14,108,11.6,384
1764350166,32,124,14,14,108,11.6,384
1764350171,32,124,14,14,108,11.6,384
1764350176,32,124,14,14,108,11.6,384
1764350181,32,124,14,14,108,11.6,384
1764350186,32,124,14,14,108,11.6,384
1764350191,32,124,14,14,108,11.6,384
1764350196,32,124,14,14,108,11.6,384
1764350201,32,124,14,14,108,11.6,384
1764350206,32,124,14,14,108,11.6,384
1764350211,32,124,14,14,108,11.6,384
1764350216,32,124,14,14,108,11.6,384
1764350221,32,124,14,14,108,11.6,384
1764350226,32,124,14,14,108,11.6,384
1764350231,32,124,14,14,108,11.6,384
1764350236,32,124,14,14,108,11.6,384
1764350242,32,124,14,14,108,11.6,384
1764350247,32,124,14,14,108,11.6,384
1764350252,32,124,14,14,108,11.6,384
1764350257,32,124,14,14,108,11.6,384
1764350262,32,124,14,14,108,11.7,384
1764350267,32,124,14,14,107,11.8,384
