timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764347914,32,124,11,17,110,9.5,0
1764347919,32,124,12,17,110,9.8,48
1764347924,32,124,12,17,110,9.7,48
1764347929,32,124,12,17,110,9.7,48
1764347934,32,124,12,17,110,9.7,48
1764347939,32,124,12,17,110,9.7,48
1764347944,32,124,12,17,110,9.7,48
1764347949,32,124,12,17,110,9.7,48
1764347954,32,124,12,17,110,9.7,48
1764347959,32,124,12,17,110,9.7,48
1764347964,32,124,12,17,110,9.7,48
1764347969,32,124,12,17,110,9.7,48
1764347974,32,124,12,17,110,9.7,48
1764347980,32,124,12,17,110,9.8,48
1764347985,32,124,12,17,110,9.7,48
1764347990,32,124,12,17,110,9.7,48
1764347995,32,124,12,17,110,9.7,48
1764348000,32,124,12,17,110,9.7,48
1764348005,32,124,12,17,110,9.7,48
1764348010,32,124,12,17,110,9.7,48
1764348015,32,124,12,17,110,9.7,48
1764348020,32,124,12,17,110,9.7,48
1764348025,32,124,12,17,110,9.7,48
1764348030,32,124,12,17,110,9.7,48
1764348035,32,124,12,17,110,9.7,48
1764348040,32,124,12,17,110,9.7,48
1764348045,32,124,12,17,110,9.7,48
