timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764353339,32,124,12,15,110,9.7,0
1764353344,32,124,12,15,110,10.1,68
1764353349,32,124,13,14,109,10.6,150
1764353354,32,124,13,14,108,11.0,231
1764353359,32,124,14,13,108,11.5,305
1764353364,32,124,14,13,107,11.8,348
1764353369,32,124,14,13,107,11.9,368
1764353374,32,124,15,12,107,12.0,394
1764353379,32,124,15,12,107,12.3,444
1764353384,32,124,15,12,106,12.6,494
1764353389,32,124,16,11,106,12.9,543
1764353394,32,124,16,11,106,13.2,579
1764353400,32,124,16,10,105,13.4,617
1764353405,32,124,17,10,105,13.6,646
1764353410,32,124,17,10,105,13.9,686
1764353415,32,124,17,10,105,14.0,702
1764353420,32,124,17,10,105,13.9,702
1764353425,32,124,17,10,105,13.9,702
1764353430,32,124,17,10,105,13.9,702
1764353435,32,124,17,10,105,13.9,702
1764353440,32,124,17,10,105,13.9,702
1764353445,32,124,17,10,105,13.8,702
1764353450,32,124,17,10,105,13.8,702
1764353455,32,124,17,10,105,13.8,702
1764353460,32,124,17,10,105,13.8,702
1764353465,32,124,17,10,105,13.8,702
1764353470,32,124,17,10,105,13.8,702
1764353475,32,124,17,10,105,13.8,702
1764353481,32,124,17,10,105,13.8,702
1764353486,32,124,17,10,105,13.8,702
1764353491,32,124,17,10,105,13.8,702
1764353496,32,124,17,10,105,13.8,702
1764353501,32,124,17,10,105,13.9,702
1764353506,32,124,17,10,105,13.9,702
1764353511,32,124,17,10,105,13.9,702
1764353516,32,124,17,10,105,13.9,702
1764353521,32,124,17,10,105,13.9,702
1764353526,32,124,17,10,105,13.9,702
1764353531,32,124,17,10,105,13.9,702
1764353536,32,124,17,10,105,13.8,702
1764353541,32,124,17,10,105,13.8,702
1764353546,32,124,17,10,105,13.8,702
1764353551,32,124,17,10,105,13.8,702
1764353557,32,124,17,10,105,13.8,702
1764353562,32,124,17,10,105,13.9,702
1764353567,32,124,17,10,105,13.9,702
1764353572,32,124,17,10,105,13.9,702
1764353577,32,124,17,10,105,13.9,702
1764353582,32,124,17,10,105,14.0,702
1764353587,32,124,17,9,105,14.0,702
1764353592,32,124,17,9,105,14.0,702
