timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764349729,32,124,11,17,110,9.6,0
1764349735,32,124,13,16,109,10.5,163
1764349740,32,124,14,15,108,11.4,322
1764349745,32,124,14,14,108,11.7,384
1764349750,32,124,14,14,108,11.6,384
1764349755,32,124,14,14,108,11.6,384
1764349760,32,124,14,14,108,11.6,384
1764349765,32,124,14,14,108,11.6,384
1764349770,32,124,14,14,108,11.6,384
1764349775,32,124,14,14,108,11.6,384
1764349780,32,124,14,14,108,11.6,384
1764349785,32,124,14,14,108,11.6,384
1764349790,32,124,14,14,108,11.6,384
1764349795,32,124,14,14,108,11.6,384
1764349800,32,124,14,14,108,11.6,384
1764349805,32,124,14,14,108,11.6,384
1764349810,32,124,14,14,108,11.6,384
1764349815,32,124,14,14,108,11.6,384
1764349820,32,124,14,14,108,11.6,384
1764349825,32,124,14,14,108,11.6,384
1764349830,32,124,14,14,108,11.6,384
1764349835,32,124,14,14,108,11.6,384
1764349841,32,124,14,14,108,11.7,384
1764349846,32,124,14,14,108,11.7,384
1764349851,32,124,14,14,108,11.6,384
1764349856,32,124,14,14,108,11.6,384
1764349861,32,124,14,14,108,11.6,384
1764349866,32,124,14,14,108,11.6,384
1764349871,32,124,14,14,108,11.6,384
1764349876,32,124,14,14,108,11.6,384
1764349881,32,124,14,14,107,11.8,384
