NodeCount,Bandwidth,Topology,Soldier_to_Squad_P50_ms,Soldier_to_Squad_P95_ms,Squad_to_Platoon_P50_ms,Squad_to_Platoon_P95_ms,Aggregation_Ratio,Total_Ops,Status
24,1gbps,1_platoon_3_squads,40.150,72.598,75.517,220.196,6,46881,PASS
24,100mbps,1_platoon_3_squads,41.667,78.426,101.231,230.809,6,41239,PASS
24,1mbps,1_platoon_3_squads,42.303,79.754,96.529,227.219,6,40268,PASS
24,256kbps,1_platoon_3_squads,43.354,89.930,100.751,251.524,6,38132,PASS
48,1gbps,2_platoons_6_squads,49.130,120.979,274.246,30092.533,4,93821,PASS
48,100mbps,2_platoons_6_squads,47.877,121.575,262.967,30427.309,4,96525,PASS
48,1mbps,2_platoons_6_squads,47.784,107.947,257.823,28868.27,4,98414,PASS
48,256kbps,2_platoons_6_squads,51.224,120.077,278.668,31355.511,4,91763,PASS
96,1gbps,4_platoons_12_squads,78.828,231.387,563.262,1620.476,4,113323,PASS
96,100mbps,4_platoons_12_squads,80.696,225.232,576.561,1568.49,4,113757,PASS
96,1mbps,4_platoons_12_squads,81.286,237.478,571.334,1723.682,4,111369,PASS
96,256kbps,4_platoons_12_squads,77.794,222.899,536.75,1678.552,4,115167,PASS
384,1gbps,multi_company_384n,61.261,185.241,0,0,8,396870,PASS
384,100mbps,multi_company_384n,58.677,138.822,0,0,8,463900,PASS
384,1mbps,multi_company_384n,62.357,159.292,0,0,8,450292,PASS
384,256kbps,multi_company_384n,52.986,132.516,0,0,8,482275,PASS
1000,1gbps,battalion_1000n,112.685,746.498,0,0,8,1215,PASS
