timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764347776,32,124,11,17,110,9.6,0
1764347781,32,124,12,17,110,9.8,48
1764347786,32,124,12,17,110,9.8,48
1764347791,32,124,12,17,110,9.7,48
1764347796,32,124,12,17,110,9.7,48
1764347801,32,124,12,17,110,9.7,48
1764347806,32,124,12,17,110,9.7,48
1764347811,32,124,12,17,110,9.7,48
1764347816,32,124,12,17,110,9.7,48
1764347821,32,124,12,17,110,9.7,48
1764347826,32,124,12,17,110,9.7,48
1764347831,32,124,12,17,110,9.7,48
1764347836,32,124,12,17,110,9.7,48
1764347841,32,124,12,17,110,9.7,48
1764347846,32,124,12,17,110,9.7,48
1764347851,32,124,12,17,110,9.7,48
1764347856,32,124,12,17,110,9.7,48
1764347861,32,124,12,17,110,9.8,48
1764347866,32,124,12,17,110,9.8,48
1764347871,32,124,12,17,110,9.7,48
1764347876,32,124,12,17,110,9.7,48
1764347881,32,124,12,17,110,9.7,48
1764347886,32,124,12,17,110,9.7,48
1764347892,32,124,12,17,110,9.7,48
1764347897,32,124,12,17,110,9.7,48
1764347902,32,124,12,17,110,9.7,48
1764347907,32,124,12,17,110,9.7,48
