timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764351731,32,124,12,16,110,9.6,0
1764351736,32,124,13,15,109,10.6,159
1764351741,32,124,14,14,108,11.5,316
1764351746,32,124,15,13,107,12.2,437
1764351751,32,124,15,12,106,12.6,494
1764351756,32,124,15,12,106,12.8,522
1764351761,32,124,16,12,106,13.0,555
1764351766,32,124,16,12,106,13.1,569
1764351771,32,124,16,12,106,12.9,575
1764351776,32,124,16,12,106,12.9,575
1764351781,32,124,16,12,106,13.0,575
1764351786,32,124,16,12,106,12.9,575
1764351791,32,124,16,12,106,12.9,575
1764351796,32,124,16,12,106,12.9,575
1764351801,32,124,16,12,106,12.9,575
1764351806,32,124,16,12,106,12.9,575
1764351811,32,124,16,12,106,12.9,575
1764351816,32,124,16,12,106,12.9,575
1764351822,32,124,16,12,106,12.9,575
1764351827,32,124,16,12,106,12.9,575
1764351832,32,124,16,12,106,12.9,575
1764351837,32,124,16,12,106,12.9,575
1764351842,32,124,16,12,106,12.9,575
1764351847,32,124,16,12,106,12.9,575
1764351852,32,124,16,12,106,12.9,575
1764351857,32,124,16,12,106,12.9,575
1764351862,32,124,16,12,106,12.9,575
1764351867,32,124,16,12,106,12.9,575
1764351872,32,124,16,12,106,12.9,575
1764351877,32,124,16,12,106,12.9,575
1764351882,32,124,16,12,106,12.9,575
1764351887,32,124,16,12,106,12.9,575
1764351892,32,124,16,12,106,12.9,575
1764351897,32,124,16,12,106,12.9,575
1764351902,32,124,16,12,106,12.9,575
1764351907,32,124,16,12,106,12.9,575
1764351913,32,124,16,12,106,12.9,575
1764351918,32,124,16,12,106,13.0,575
1764351923,32,124,16,12,106,13.1,575
1764351928,32,124,16,11,106,13.1,575
