timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764349378,32,124,11,17,110,9.5,0
1764349383,32,124,13,16,109,10.6,178
1764349388,32,124,13,16,109,10.5,192
1764349393,32,124,13,16,109,10.5,192
1764349398,32,124,13,16,109,10.5,192
1764349403,32,124,13,16,109,10.5,192
1764349408,32,124,13,16,109,10.5,192
1764349413,32,124,13,16,109,10.5,192
1764349418,32,124,13,16,109,10.5,192
1764349423,32,124,13,16,109,10.5,192
1764349428,32,124,13,16,109,10.5,192
1764349433,32,124,13,16,109,10.5,192
1764349438,32,124,13,16,109,10.5,192
1764349443,32,124,13,16,109,10.5,192
1764349448,32,124,13,16,109,10.5,192
1764349453,32,124,13,16,109,10.5,192
1764349458,32,124,13,16,109,10.5,192
1764349463,32,124,13,16,109,10.5,192
1764349468,32,124,13,16,109,10.5,192
1764349473,32,124,13,16,109,10.5,192
1764349479,32,124,13,16,109,10.5,192
1764349484,32,124,13,16,109,10.5,192
1764349489,32,124,13,16,109,10.5,192
1764349494,32,124,13,16,109,10.5,192
1764349499,32,124,13,16,109,10.5,192
1764349504,32,124,13,16,109,10.5,192
1764349509,32,124,13,16,109,10.5,192
1764349514,32,124,13,16,109,10.5,192
