timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764350521,32,124,11,17,110,9.5,0
1764350526,32,124,13,16,109,10.5,163
1764350531,32,124,14,14,108,11.5,327
1764350536,32,124,15,14,107,12.0,415
1764350541,32,124,15,13,107,12.1,437
1764350546,32,124,15,14,107,12.0,437
1764350552,32,124,14,14,107,12.0,437
1764350557,32,124,14,14,107,12.0,437
1764350562,32,124,14,14,107,12.0,437
1764350567,32,124,14,14,107,12.0,437
1764350572,32,124,14,14,107,12.0,437
1764350577,32,124,14,14,107,12.0,437
1764350582,32,124,14,14,107,12.0,437
1764350587,32,124,14,14,107,12.0,437
1764350592,32,124,14,14,107,11.9,437
1764350597,32,124,14,14,107,12.0,437
1764350602,32,124,14,14,107,12.0,437
1764350607,32,124,14,14,107,12.0,437
1764350612,32,124,14,14,107,12.0,437
1764350617,32,124,14,14,107,12.0,437
1764350622,32,124,15,13,107,12.0,437
1764350627,32,124,14,14,107,12.0,437
1764350632,32,124,14,14,107,12.0,437
1764350637,32,124,14,14,107,12.0,437
1764350642,32,124,14,14,107,12.0,437
1764350647,32,124,14,14,107,12.0,437
1764350652,32,124,14,14,107,12.0,437
1764350658,32,124,14,14,107,12.0,437
1764350663,32,124,14,14,107,12.0,437
1764350668,32,124,14,13,107,12.0,437
1764350673,32,124,14,13,107,12.0,437
1764350678,32,124,14,13,107,12.0,437
1764350683,32,124,15,13,107,12.0,437
1764350688,32,124,15,13,107,12.2,437
