NodeCount,Bandwidth,Topology,Soldier_to_Squad_P50_ms,Soldier_to_Squad_P95_ms,Squad_to_Platoon_P50_ms,Squad_to_Platoon_P95_ms,Aggregation_Ratio,Total_Operations,Status
24,1gbps,1_platoon_3_squads,0,0,0,0,0,0,0,0,SKIP
24,100mbps,1_platoon_3_squads,0,0,0,0,0,0,0,0,SKIP
24,1mbps,1_platoon_3_squads,0,0,0,0,0,0,0,0,SKIP
24,256kbps,1_platoon_3_squads,0,0,0,0,0,0,0,0,SKIP
48,1gbps,2_platoons_6_squads,0,0,0,0,0,0,0,0,SKIP
48,100mbps,2_platoons_6_squads,0,0,0,0,0,0,0,0,SKIP
48,1mbps,2_platoons_6_squads,0,0,0,0,0,0,0,0,SKIP
48,256kbps,2_platoons_6_squads,0,0,0,0,0,0,0,0,SKIP
96,1gbps,4_platoons_12_squads,0,0,0,0,0,0,0,0,SKIP
96,100mbps,4_platoons_12_squads,0,0,0,0,0,0,0,0,SKIP
96,1mbps,4_platoons_12_squads,0,0,0,0,0,0,0,0,SKIP
96,256kbps,4_platoons_12_squads,0,0,0,0,0,0,0,0,SKIP
384,1gbps,multi_company_384n,0,0,0,0,0,0,0,0,FAIL
384,100mbps,multi_company_384n,0,0,0,0,0,0,0,0,FAIL
384,1mbps,multi_company_384n,0,0,0,0,0,0,0,0,FAIL
384,256kbps,multi_company_384n,0,0,0,0,0,0,0,0,FAIL
1000,1gbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
1000,100mbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
1000,1mbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
1000,256kbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
